Timeline,ID,Title,Author,Amazon Link,Description,Release Date
Legends,darth-bane-dynasty-of-evil,Darth Bane: Dynasty of Evil,Drew Karpyshyn,https://amzn.to/3RtYhq5,"The future of the dark side hangs in the balance in the stunning conclusion to the Darth Bane series.

Twenty years have passed since the Sith and their endless rivalries were eradicated and replaced with the Rule of Two. Darth Bane now reigns alongside his young acolyte, Zannah, who must study and train in the dark side of the Force until the time comes to strike down her master and claim the mantle for herself.

But Bane’s brutal new regime has one potential fatal flaw—how will their legacy continue if an apprentice fails to raise their blade in combat? The only solution must be for the Dark Lord of the Sith to rediscover a long-forgotten secret of the order—the key to immortality.

Bane’s doubt spurs his young apprentice into action, and Zannah vows to destroy her master at any cost. After he mysteriously vanishes, she tracks him across the galaxy to a desolate desert outpost, where the fate of the dark side will be forged by a final fight to the death.","December 1, 2009"
Legends,crucible,Crucible,Troy Denning,https://amzn.to/4eKCV1n,"Han Solo, Leia Organa Solo, and Luke Skywalker return in an all-new Star Wars adventure, which will challenge them in ways they never expected—and forever alter their understanding of life and the Force.
 
When Han and Leia Solo arrive at Lando Calrissian’s Outer Rim mining operation to help him thwart a hostile takeover, their aim is just to even up the odds and lay down the law. Then monstrous aliens arrive with a message, and mere threats escalate into violent sabotage with mass fatalities. When the dust settles, what began as corporate warfare becomes a battle with much higher stakes—and far deadlier consequences.
 
Now Han, Leia, and Luke team up once again in a quest to defeat a dangerous adversary bent on galaxy-wide domination. Only this time, the Empire is not the enemy. It is a  pair of ruthless geniuses with a lethal ally and a lifelong vendetta against Han Solo. And when the murderous duo gets the drop on Han, he finds himself outgunned in the fight of his life. To save him, and the galaxy, Luke and Leia must brave a gauntlet of treachery, terrorism, and the untold power of an enigmatic artifact capable of bending space, time, and even the Force itself into an apocalyptic nightmare.","July 9, 2013"
Legends,allies,Allies,Christie Golden,https://amzn.to/3Rs8Uts,"Only one thing could unite the forces of Jedi and Sith: an enemy far deadlier than both.
 
What began as a quest for truth has become a struggle for survival for Luke Skywalker and his son, Ben. They have used the secrets of the Mind Walkers to speak with the spirits of the fallen, risking their lives in the process. They have faced a team of Sith assassins and beaten the odds to destroy them. And now the death squad’s sole survivor, Sith apprentice Vestara Khai, has summoned an entire fleet of Sith frigates to engage the embattled father and son. But the dark warriors come bearing a surprising proposition that will bring Jedi and Sith together in an unprecedented alliance against an adversary more ancient and alien than they can imagine. For in the treacherous web of black holes that is the Maw, the Skywalkers and their Sith allies will have to fight an unimaginable evil, and Luke will be rocked by a staggering truth.","May 25, 2010"
Legends,vortex,Vortex,Troy Denning,https://amzn.to/493D4JJ,"Jedi and Sith fight side by side against an even greater foe.
But how long can enemies remain allies?
And how high is the price of betrayal?
 
In a stunning turn of events, Luke Skywalker and his son, Ben, joined forces with the Sith armada sent to kill them—and used their combined might against the monstrous being Abeloth. But when the wounded creature escapes, the fragile armistice crumbles, and hostilities resume with the attempted assassination of Luke.

On the hunt for Abeloth and on the run from the Sith, Luke and Ben find themselves trapped by a mob of angry Force adepts who care little for the difference between light side and dark side.

With the Jedi’s most famous father-and-son team outnumbered and outgunned, the countdown to galactic disaster has begun—and time is running out.","November 30, 2010"
Legends,conviction,Conviction,Aaron Allston,https://amzn.to/4wxvHEd,"The Jedi have struck a blow against tyranny. Can they strike down ultimate evil?
 
Chief of State Natasi Daala has been overthrown, and the Jedi Order has taken control of the Galactic Alliance. But while the new governors dismantle Daala’s draconian regime, forces still loyal to the deposed official are mobilizing a counterstrike. And even the Jedi’s new authority may not be enough to save Tahiri Veila, the former Jedi Knight and onetime Sith apprentice convicted of treason for the killing of Galactic Alliance officer Gilad Pellaeon.
 
Meanwhile, Luke and Ben Skywalker are relentlessly pursuing Abeloth, the powerful dark-side entity bent on ruling the galaxy. But as they corner their monstrous quarry on the planet Nam Chorios, the two lone Jedi must also face the fury of the Sith death squadron bearing down on them. And when Abeloth turns the tables with an insidious ambush, the Skywalkers’ quest threatens to become a suicide mission.","May 24, 2011"
Legends,ascension,Ascension,Christie Golden,https://amzn.to/4ny3nNV,"THE GALAXY STANDS LEADERLESS. CAN THE JEDI SAVE IT—OR WILL THEIR ENEMIES ENSLAVE IT?

The toppling of ruthless Natasi Daala has left a political vacuum on Coruscant and ignited a power struggle between opposing factions racing to claim control of the Galactic Alliance. Surrounded by hidden agendas, treacherous conspiracies, and covert Sith agents, the Jedi Order must keep the government from collapsing into anarchy—while facing the combined threats of the resurgent Lost Sith Tribe, a deposed dictator bent on vengeance, and the enduring menace of Abeloth, the profoundly evil entity hungry to become a god.","August 9, 2011"
Legends,apocalypse,Apocalypse,Troy Denning,https://amzn.to/4dg7UkU,"There can be no surrender. There will be no mercy.
It’s not just the future of the galaxy at stake.
It’s the destiny of the Force.

In the stunning finale of the epic Fate of the Jedi series, Jedi and Sith face off—with Coruscant as their battlefield. For the Sith, it’s the chance to restore their dominance over the galaxy that forgot them for so long. For Abeloth, it’s a giant step in her quest to conquer all life everywhere. For Luke Skywalker, it’s a call to arms to eradicate the Sith and their monstrous new master once and for all.
 
In a planetwide strike, teams of Jedi Knights take the Sith infiltrators by swift and lethal surprise. But victory against the cunning and savage Abeloth, and the terrifying endgame she has planned, is anything but certain. And as Luke, Ben, Han, Leia, Jaina, Jag, and their allies close in, the devastating truth about the dark side incarnate will be exposed—and send shock waves through the Jedi Order, the galaxy, and the Force itself.","March 13, 2012"
Legends,x-wing-mercy-kill,X-Wing: Mercy Kill,Aaron Allston,https://amzn.to/3Rue8F7,"Wraith Squadron soars back into action, on a full-throttle mission to match wits and weapons with an Imperial General gone rogue.

Wraith Squadron: The elite X-wing unit of rogues and misfits who became legends of the Rebellion, specializing in carrying out the most dangerous and daring operations before breaking up and going their separate ways. Now, three decades later, their singular skills are back in demand for a tailor-made Wraith Squadron mission.

A powerful general in the Galactic Alliance Army, once renowned for his valor, is suspected of participating in a conspiracy that nearly succeeded in toppling the Alliance back into the merciless hands of the Empire. With orders to expose and apprehend the traitor—and license to do so by any and all means—the Wraiths will become thieves, pirates, impostors, forgers . . . and targets, as they put their guts, their guns, and their riskiest game plan to the test!","August 7, 2012"
Legends,millennium-falcon,Millennium Falcon,James Luceno,https://amzn.to/4nu9jYh,"Climb aboard, buckle up, and prepare to jump to hyperspace for a dazzling adventure aboard the ship that launched a thousand fates.

Two years have passed since the death of the brutal Sith Lord Darth Caedus–once known as Jacen Solo. The galaxy is slowly healing from civil war, while Jacen’s family and friends are left to mourn his loss alone. For Han and Leia, still grieving for their son, the only bright spot is Jacen’s daughter, Allana, who has been given into their care. Now Allana introduces new adventure into her grandparents’ lives when she discovers a strange device hidden aboard the Millennium Falcon–a discovery that sparks a fact-finding expedition to retrace the people, places, and events in the checkered history of the famous spaceship. But the Solos are not alone in their quest: Crime lords, galactic pirates, rogue politicians, and fortune hunters alike will race to a final standoff for a prize some will risk everything to find–and pay any cost to possess.","October 22, 2008"
Legends,outcast,Outcast,Aaron Allston,https://amzn.to/42EedbF,"Does a new start for the Galactic Alliance mark the beginning of the fall of the Jedi Order?
 
After a violent civil war and the devastation wrought by the now fallen Darth Caedus, the Galactic Alliance is in crisis. From all corners, politicians, power brokers, and military leaders converge on Coruscant for a crucial summit to restore order and determine the future of their unified worlds. But even more critical, and far more uncertain, is the future of the Jedi.

In a shocking move, Chief of State Natasi Daala orders the arrest of Luke Skywalker for failing to prevent Jacen Solo’s turn to the dark side and his subsequent reign of terror as a Sith Lord. But it’s only the first blow in an anti-Jedi backlash fueled by a hostile government and suspicious public. Negotiating his freedom in exchange for his exile from the Jedi Order, Luke, with his son, Ben, at his side, sets out to unravel the shocking truth behind Jacen Solo’s corruption and downfall. But the secrets Luke uncovers may bring his quest—and life as he knows it—to a sudden end. And all the while, another Jedi Knight, consumed by madness, is headed to Coruscant on a fearsome mission that could devastate the entire galaxy.","March 24, 2009"
Legends,omen,Omen,Christie Golden,https://amzn.to/4nsIDXS,"The Jedi Order is in crisis. The late Jacen Solo’s shocking transformation into murderous Sith Lord Darth Caedus has cast a damning pall over those who wield the Force for good: Two Jedi Knights have succumbed to an inexplicable and dangerous psychosis, criminal charges have driven Luke Skywalker into self-imposed exile, and power-hungry Chief of State Natasi Daala is exploiting anti-Jedi sentiment to undermine the Order’s influence within the Galactic Alliance.

Forbidden to intervene in Jedi affairs, Luke is on a desperate mission to uncover the truth behind Jacen’s fall to the dark side–and to learn what’s turning peaceful Jedi into raving lunatics. But finding answers will mean venturing into the mind-bending space of the Kathol Rift and bargaining with an alien species as likely to destroy outsiders as deal with them. Still, there is no other choice and no time to lose, as the catastrophic events on Coruscant continue to escalate. Stricken by the same violent dementia that infected her brother, Valin, Jedi Knight Jysella Horn faces an equally grim fate after her capture by Natasi Daala’s police. And when Han and Leia Solo narrowly foil another deranged Jedi bent on deadly destruction, even acting Jedi Grand Master Kenth Hamner appears willing to bow to Daala’s iron will–at the expense of the Jedi Order.

But an even greater threat is looming. Millennia in the past, a Sith starship crashed on an unknown low-tech planet, leaving the survivors stranded. Over the generations, their numbers have grown, the ways of the dark side have been nurtured, and the time is fast approaching when this lost tribe of Sith will once more take to the stars to reclaim their legendary destiny as rulers of the galaxy. Only one thing stands in their way, a name whispered to them through the Force: Skywalker.","June 23, 2009"
Legends,abyss,Abyss,Troy Denning,https://amzn.to/4dMCIcZ,"Peace is the way of the Jedi. But with deadly enemies on every side, war may be the only way out.
 
On Coruscant, an epidemic of madness is preying on the ranks of the Jedi Order—driving the Galactic Alliance to martial actions. As Han and Leia Solo, along with their daughter, Jaina, join the fight to protect more stricken Knights from arrest, Jedi healers race to find a cure for the rapidly spreading affliction.
   
Meanwhile, Luke Skywalker continues his quest to find the reasons behind Jacen Solo’s dark downfall and to win redemption for the Jedi Order—a journey that draws Luke and his son, Ben, to the forbidden reaches of the Maw Cluster. There dwell the Mind Walkers: those whose power to transcend their bodies and be one with the Force is as seductive as it is potentially fatal. As Luke and Ben push their Force abilities beyond known limits, they draw closer to a nexus of dark-side energy unprecedented in its power, and to an explosive confrontation from which only one Master—good or evil—can emerge alive.","August 18, 2009"
Legends,backlash,Backlash,Aaron Allston,https://amzn.to/4uUY263,"Locked in a war of wills and weapons, the Jedi Order and the Galactic Alliance must come to terms—before the Sith’s army of darkness enacts revenge.
 
Repercussions from the dark side’s fatal seduction of Jacen Solo and the mysterious plague of madness afflicting young Jedi continue to wreak galaxywide havoc. Luke and Ben Skywalker are in pursuit of the now Masterless Sith apprentice—a chase that leads to the forbidding planet Dathomir, where the Skywalkers will be forced into combat for their quarry and their lives. Meanwhile, Han and Leia have completed their own desperate mission, shuttling madness-stricken Jedi to safe haven beyond the grasp of Galactic Alliance Chief of State Natasi Daala. Yet no greater threat exists than Abeloth, a being of ravenous dark-side energy who calls out to Jedi and Sith alike. For some it may be the ultimate source of answers for survival. For others it could be the ultimate weapon of conquest. But for all, it is a game-changing encounter of untold magnitude with unimaginable consequences.","March 9, 2010"
Legends,invincible,Invincible,Troy Denning,https://amzn.to/3PKpIvl,"No war can last forever. Now, in the long and punishing battle between the defiant champions of the New Jedi Order and the juggernaut that is the Galactic Alliance, the endgame is finally at hand. With so much lost–and nothing less than the course of the future still at stake–there can be no turning back. No matter the consequences.

The rebel cause is losing ground under the twin blows of Admiral Gilad Pellaeon’s assassination and the death of Mara Jade Skywalker. At the same time, having gained the support of the Imperial Remnant and its ruthlessly efficient forces, the Galactic Alliance, with the extraordinary power and dark brilliance of newly ascendant Sith Lord Darth Caedus at its helm, may be unstoppable. Tormented and torn between the call of duty and the thirst for vengeance, Luke has searched the Force and beheld an unspeakable vision of the galaxy enslaved under tyranny more monstrous than even Palpatine’s. Now it seems that the last, best hope lies in mobilizing the scattered Jedi for one decisive search-and-destroy mission. The objective: eliminate Darth Caedus.

It’s a plan that will be as difficult and dangerous to execute as it is daring. For Caedus is a scion of both the Skywalker and Solo bloodlines whose command of the Force surpasses even that of his grandfather

Darth Vader. There is only one who is bound by destiny to stand against him in what will surely be a duel to the death, only one with an outside chance of bringing down the dark lord who was once Jacen Solo.

Failure is not an option. The furious final moments between power and peace are here, and whoever confronts Darth Caedus will decide the outcome–and the fate of those left standing.","May 13, 2008"
Legends,crosscurrent,Crosscurrent,Paul S. Kemp,https://amzn.to/4wFgCAP,"An ancient Sith ship hurtles into the future carrying a lethal cargo that could forever destroy Luke Skywalker’s hopes for peace.
 
The Civil War is almost over when Jedi Knight Jaden Korr experiences a Force vision so intense he must act. Enlisting two salvage jocks and their ship, Jaden sets out into space. Someone—or something—appears to be in distress.

But what Jaden and his crew find confounds them. A five-thousand-year-old dreadnaught—bringing with it a full force of Sith and one lone Jedi—has inadvertently catapulted eons from the past into the present. The ship’s weapons may not be cutting-edge, but its cargo, a special ore that makes those who use the dark side nearly invincible, is unsurpassed. The ancient Jedi on board is determined to destroy the Sith. But for Jaden, even more is at stake: for his vision has led him to uncover a potentially indestructible threat to everything the Jedi Order stands for.","January 26, 2010"
Legends,riptide,Riptide,Paul S. Kemp,https://amzn.to/495PC39,"Anyone can escape danger. No one can escape the truth.

When a ship full of Sith warriors arrived in Galactic Alliance space, the fight to destroy it accidentally uncovered a hidden menace: a long-hidden group of clones, secretly created as insidious weapons capable of wielding the Force and heedless of the differences between light side and dark side. Now the clones have escaped—and evidence suggests that they are flawed by genetic disease and violent madness.

Jedi Knight Jaden Korr pursues the clones, hoping to heal them but prepared to destroy them. What he doesn’t know is that Sith agents are hot on his heels, determined not only to recover the clones for their Master but to capture Jaden for their own dark-side purposes. In a life-or-death battle, Jaden will confront a shocking reality that will rock him to his core and bring him face-to-face with the question of what makes a man . . . and a Jedi.","October 25, 2011"
Legends,revelation,Revelation,Karen Traviss,https://amzn.to/4uf9cT9,"During this savage civil war, all efforts to end Jacen Solo’s tyranny of the Galactic Alliance have failed. Now with Jacen approaching the height of his dark powers, no one–not even the Solos and the Skywalkers–knows if anything can stop the Sith Lord before his plan to save the galaxy ends up destroying it.

Jacen Solo’s shadow of influence has threatened many, especially those closest to him. Jaina Solo is determined to bring her brother in, but in order to track him down, she must first learn unfamiliar skills from a man she finds ruthless, repellent, and dangerous. Meanwhile, Ben Skywalker, still haunted by suspicions that Jacen killed his mother, Mara, decides he must know the truth, even if it costs him his life. And as Luke Skywalker contemplates once unthinkable strategies to dethrone his nephew, the hour of reckoning for those on both sides draws near. The galaxy becomes a battlefield where all must face their true nature and darkest secrets, and live–or die–with the consequences.","February 26, 2008"
Legends,betrayal,Betrayal,Aaron Allston,https://amzn.to/3RInRaU,"Honor and duty collide with friendship and blood ties as the Skywalker and Solo clans find themselves on opposing sides of an explosive conflict.

When a mission to uncover an illegal missile factory on the planet Adumar ends in a violent ambush–from which Jedi Knight Jacen Solo and his protégé and cousin, Ben Skywalker, narrowly escape with their lives–it’s the most alarming evidence yet that political unrest is threatening to ignite into total rebellion. The specter of full-scale war looms between a growing cadre of defiant planets and the Galactic Alliance that some fear is becoming a new Empire.

Determined to root out those behind the mayhem, Jacen follows a trail of cryptic clues to a rendezvous with the most shocking of revelations. Meanwhile Luke grapples with something even more troubling: dream visions of a shadowy figure whose Force power and ruthlessness remind him of Darth Vader. If Luke’s visions come to pass, they will bring untold pain to the Jedi Master . . . and to the galaxy.","May 30, 2006"
Legends,bloodlines,Bloodlines,Karen Traviss,https://amzn.to/4uMoZbS,"A new era of exciting adventures and shocking revelations continues to unfold, as the legendary Star Wars saga sweeps forward into astonishing new territory.

Civil war looms as the fledgling Galactic Alliance confronts a growing number of rebellious worlds–and the approaching war is tearing the Skywalker and Solo families apart. Han and Leia return to Han’s homeworld, Corellia, the heart of the resistance. Their children, Jacen and Jaina, are soldiers in the Galactic Alliance’s campaign to crush the insurgents.

Jacen, now a complete master of the Force, has his own plans to bring order to the galaxy. Guided by his Sith mentor, Lumiya, and with Luke’s young son Ben at his side, Jacen embarks on the same path that his grandfather Darth Vader once did. And while Han and Leia watch their only son become a stranger, a secret assassin entangles the couple with a dreaded name from Han’s past: Boba Fett. In the new galactic order, friends and enemies are no longer what they seem. . . .","August 1, 2006"
Legends,tempest,Tempest,Troy Denning,https://amzn.to/4uODQ5z,"Forty years after the Battle of Yavin a dangerous new era in the Star Wars epic begins–the revelations are shocking, the stakes desperate, and the enemy everywhere.

As civil war threatens the unity of the Galactic Alliance, Han and Leia Solo have enraged their families and the Jedi by joining the Corellian insurgents. But the Solos draw the line when they discover the rebels’ plot to make the Hapan Consortium an ally–which rests upon Hapan nobles murdering their pro-Alliance queen and her daughter.

Yet the Solos’ selfless determination to save the queen cannot dispel the inescapable consequences of their actions, that will pit mother against son and brother against sister in the battles ahead. For as Jacen Solo’s dark powers grow stronger under the Dark Jedi Lumiya, and his influence over Ben Skywalker becomes more insidious, Luke’s concern for his nephew forces him into a life-and-death struggle against his fiercest foe, and Han and Leia Solo find themselves at the mercy of their deadliest enemy . . . their son.","November 28, 2006"
Legends,exile,Exile,Aaron Allston,https://amzn.to/49Q9abY,"In the Stars Wars galaxy, evil is on the move as the Galactic Alliance and Jedi order battle forces seen and unseen, from rampant internal treachery to the nightmare of all-out war.

With each victory against the Corellian rebels, Jacen Solo becomes more admired, more powerful, and more certain of achieving galactic peace. But that peace may come with a price. Despite strained relationships caused by opposing sympathies in the war, Han and Leia Solo and Luke and Mara Skywalker remain united by one frightening suspicion: Someone insidious is manipulating this war, and if he or she isn’t stopped, all efforts at reconciliation may be for naught. And as sinister visions lead Luke to believe that the source of the evil is none other than Lumiya, Dark Lady of the Sith, the greatest peril revolves around Jacen himself. . . .","February 27, 2007"
Legends,sacrifice,Sacrifice,Karen Traviss,https://amzn.to/4wx4hOZ,"Civil war rages as the Galactic Alliance–led by Cal Omas and the Jedi forces of Luke Skywalker–battles a confederation of breakaway planets that rally to the side of rebellious Corellia. Suspected of involvement in an assassination plot against Queen Mother Tenel Ka of the Hapes Consortium, Han and Leia Solo are on the run, hunted by none other than their own son, Jacen, whose increasingly authoritarian tactics as head of GA security have led Luke and Mara Skywalker to fear that their nephew may be treading perilously close to the dark side.

But as his family sees in Jacen the chilling legacy of his Sith grandfather, Darth Vader, many of the frontline troops adore him, and countless citizens see him as a savior. The galaxy has been torn apart by too many wars. All Jacen wants is safety and stability for all–and he’s prepared to do whatever it takes to achieve that goal.

To end the bloodshed and suffering, what sacrifice would be too great? That is the question tormenting Jacen. Already he has sacrificed much, embracing the pitiless teachings of Lumiya, the Dark Lady of the Sith, who has taught him that a strong will and noble purpose can hold the evil excesses of the dark side at bay, bringing peace and order to the galaxy–but at a price.

For there is one final test that Jacen must pass before he can gain the awesome power of a true Sith Lord: He must bring about the death of someone he values dearly. What troubles Jacen isn’t whether he has the strength to commit murder. He has steeled himself for that, and worse if necessary. No, the question that troubles Jacen is who the sacrifice should be.

As the strands of destiny draw ever more tightly together in a galaxy-spanning web, the shocking answer will shatter two families . . . and cast a grim shadow over the future.","May 29, 2007"
